iter	Passed	Remaining
0	1	115
1	2	98
2	2	93
3	3	82
4	4	81
5	5	80
6	5	79
7	6	79
8	7	78
9	8	76
10	9	75
11	10	75
12	11	74
13	11	72
14	12	72
15	13	73
16	15	74
17	16	73
18	17	72
19	17	71
20	18	70
21	19	70
22	20	68
23	21	67
24	22	66
25	22	65
26	23	64
27	24	63
28	25	62
29	26	61
30	27	60
31	27	59
32	28	58
33	29	57
34	30	57
35	31	56
36	32	55
37	33	54
38	34	53
39	34	52
40	35	51
41	36	49
42	36	48
43	37	48
44	38	47
45	39	46
46	40	45
47	41	44
48	41	43
49	42	42
50	43	41
51	44	41
52	45	40
53	46	39
54	46	38
55	47	37
56	48	36
57	49	35
58	49	34
59	50	33
60	51	32
61	52	32
62	53	31
63	54	30
64	55	29
65	55	28
66	57	28
67	57	27
68	58	26
69	59	25
70	60	24
71	61	24
72	62	23
73	63	22
74	64	21
75	65	20
76	66	19
77	67	18
78	67	18
79	68	17
80	69	16
81	70	15
82	71	14
83	72	13
84	73	12
85	74	12
86	74	11
87	75	10
88	76	9
89	77	8
90	78	7
91	79	6
92	80	6
93	81	5
94	82	4
95	83	3
96	83	2
97	84	1
98	85	0
99	86	0
