iter	Passed	Remaining
0	143	142996
1	144	71878
2	145	48350
3	146	36577
4	147	29429
5	149	24690
6	149	21235
7	151	18744
8	153	16847
9	155	15421
10	157	14181
11	158	13072
12	159	12143
13	160	11332
14	162	10642
15	162	10004
16	163	9470
17	164	8978
18	165	8555
19	166	8174
20	168	7836
21	169	7553
22	171	7281
23	172	7009
24	173	6752
25	173	6513
26	174	6291
27	175	6088
28	176	5894
29	176	5715
30	177	5547
31	178	5387
32	178	5233
33	179	5093
34	179	4960
35	180	4835
36	181	4715
37	181	4599
38	182	4495
39	183	4402
40	184	4315
41	185	4222
42	185	4132
43	186	4046
44	186	3963
45	187	3883
46	187	3807
47	188	3735
48	188	3667
49	189	3601
50	190	3537
51	190	3474
52	191	3414
53	191	3357
54	192	3301
55	192	3247
56	193	3195
57	193	3145
58	194	3096
59	194	3050
60	195	3005
61	195	2960
62	196	2918
63	196	2879
64	197	2846
65	198	2811
66	199	2775
67	199	2740
68	200	2705
69	201	2670
70	201	2636
71	201	2603
72	202	2571
73	202	2540
74	203	2509
75	204	2480
76	204	2451
77	205	2423
78	205	2396
79	206	2369
80	206	2344
81	207	2319
82	207	2292
83	208	2268
84	208	2245
85	209	2221
86	209	2199
87	210	2177
88	210	2157
89	211	2136
90	212	2118
91	212	2101
92	213	2083
93	214	2064
94	214	2046
95	215	2028
96	215	2010
97	216	1992
98	217	1975
99	217	1958
100	218	1940
101	218	1924
102	219	1907
103	219	1891
104	220	1875
105	220	1860
106	221	1845
107	221	1830
108	222	1815
109	222	1801
110	223	1786
111	223	1773
112	224	1759
113	224	1746
114	225	1734
115	225	1721
116	226	1708
117	227	1697
118	227	1687
119	228	1677
120	229	1666
121	229	1654
122	230	1643
123	230	1631
124	231	1620
125	232	1609
126	232	1597
127	232	1586
128	233	1576
129	233	1565
130	234	1556
131	235	1546
132	235	1536
133	236	1526
134	236	1516
135	237	1506
136	237	1497
137	238	1487
138	238	1478
139	239	1470
140	239	1462
141	240	1452
142	240	1443
143	241	1434
144	242	1427
145	242	1420
146	243	1414
147	244	1407
148	245	1400
149	245	1392
150	246	1384
151	246	1377
152	247	1369
153	247	1362
154	248	1354
155	249	1348
156	249	1340
157	250	1333
158	250	1326
159	251	1320
160	251	1312
161	252	1305
162	252	1299
163	253	1292
164	254	1286
165	254	1280
166	255	1273
167	255	1267
168	256	1261
169	257	1255
170	258	1251
171	259	1247
172	259	1241
173	260	1236
174	261	1231
175	261	1226
176	262	1221
177	263	1216
178	263	1210
179	264	1205
180	265	1200
181	265	1194
182	266	1189
183	267	1184
184	267	1180
185	268	1175
186	269	1170
187	269	1165
188	270	1160
189	271	1155
190	271	1150
191	272	1146
192	273	1143
193	274	1140
194	275	1137
195	276	1132
196	276	1127
197	277	1122
198	277	1118
199	278	1113
200	278	1108
201	279	1104
202	280	1100
203	280	1095
204	281	1091
205	282	1086
206	282	1082
207	283	1078
208	283	1074
209	284	1070
210	285	1066
211	285	1062
212	286	1058
213	287	1054
214	288	1051
215	289	1049
216	290	1046
217	290	1042
218	291	1038
219	291	1034
220	292	1030
221	293	1027
222	293	1023
223	294	1019
224	294	1015
225	295	1012
226	296	1008
227	296	1004
228	297	1000
229	297	996
230	298	993
231	299	990
232	299	986
233	300	982
234	300	979
235	301	976
236	302	972
237	302	969
238	303	967
239	304	964
240	305	961
241	305	958
242	306	954
243	307	951
244	307	948
245	308	945
246	308	941
247	309	938
248	310	935
249	310	931
250	311	928
251	311	925
252	312	922
253	312	919
254	313	915
255	314	912
256	314	909
257	315	907
258	316	904
259	316	901
260	317	898
261	317	895
262	318	893
263	319	891
264	320	889
265	321	886
266	321	883
267	322	880
268	322	877
269	323	874
270	324	871
271	324	868
272	325	866
273	325	863
